anio,mes,tipo_licencia,sexo,cantidad
2014,Diciembre,renovadas,MASCULINO,24485
2014,Diciembre,renovadas,FEMENINO,9582
2015,Enero,nuevas,MASCULINO,3554
2015,Enero,nuevas,FEMENINO,1682
2015,Enero,renovadas,MASCULINO,24317
2015,Enero,renovadas,FEMENINO,9147
2015,Febrero,nuevas,MASCULINO,3347
2015,Febrero,nuevas,FEMENINO,1736
2015,Febrero,renovadas,MASCULINO,19201
2015,Febrero,renovadas,FEMENINO,7755
2015,Marzo,nuevas,MASCULINO,3655
2015,Marzo,nuevas,FEMENINO,1916
2015,Marzo,renovadas,MASCULINO,21295
2015,Marzo,renovadas,FEMENINO,8464
2015,Abril,nuevas,MASCULINO,3737
2015,Abril,nuevas,FEMENINO,1944
2015,Abril,renovadas,MASCULINO,24355
2015,Abril,renovadas,FEMENINO,9466
2015,Mayo,nuevas,MASCULINO,3356
2015,Mayo,nuevas,FEMENINO,1703
2015,Mayo,renovadas,MASCULINO,22083
2015,Mayo,renovadas,FEMENINO,8935
2015,Junio,nuevas,MASCULINO,3577
2015,Junio,nuevas,FEMENINO,1798
2015,Junio,renovadas,MASCULINO,24802
2015,Junio,renovadas,FEMENINO,9724
2015,Julio,nuevas,MASCULINO,3670
2015,Julio,nuevas,FEMENINO,1963
2015,Julio,renovadas,MASCULINO,26114
2015,Julio,renovadas,FEMENINO,10522
2015,Agosto,nuevas,MASCULINO,3526
2015,Agosto,nuevas,FEMENINO,1839
2015,Agosto,renovadas,MASCULINO,23004
2015,Agosto,renovadas,FEMENINO,9179
2015,Septiembre,nuevas,MASCULINO,3956
2015,Septiembre,nuevas,FEMENINO,1914
2015,Septiembre,renovadas,MASCULINO,25063
2015,Septiembre,renovadas,FEMENINO,9608
2015,Octubre,nuevas,MASCULINO,3459
2015,Octubre,nuevas,FEMENINO,1688
2015,Octubre,renovadas,MASCULINO,24052
2015,Octubre,renovadas,FEMENINO,8830
2015,Noviembre,nuevas,MASCULINO,3077
2015,Noviembre,nuevas,FEMENINO,1564
2015,Noviembre,renovadas,MASCULINO,22425
2015,Noviembre,renovadas,FEMENINO,8399
2015,Diciembre,nuevas,MASCULINO,3086
2015,Diciembre,nuevas,FEMENINO,1570
2015,Diciembre,renovadas,MASCULINO,21953
2015,Diciembre,renovadas,FEMENINO,8683
2016,Enero,nuevas,MASCULINO,2906
2016,Enero,nuevas,FEMENINO,1413
2016,Enero,renovadas,MASCULINO,24429
2016,Enero,renovadas,FEMENINO,9543
2016,Febrero,nuevas,MASCULINO,2635
2016,Febrero,nuevas,FEMENINO,1395
2016,Febrero,renovadas,MASCULINO,20924
2016,Febrero,renovadas,FEMENINO,8482
2016,Marzo,nuevas,MASCULINO,3170
2016,Marzo,nuevas,FEMENINO,1739
2016,Marzo,renovadas,MASCULINO,22977
2016,Marzo,renovadas,FEMENINO,9305
2016,Abril,nuevas,MASCULINO,3080
2016,Abril,nuevas,FEMENINO,1685
2016,Abril,renovadas,MASCULINO,20710
2016,Abril,renovadas,FEMENINO,8251
2016,Mayo,nuevas,MASCULINO,3425
2016,Mayo,nuevas,FEMENINO,1920
2016,Mayo,renovadas,MASCULINO,21500
2016,Mayo,renovadas,FEMENINO,8291
2016,Junio,nuevas,MASCULINO,3518
2016,Junio,nuevas,FEMENINO,1855
2016,Junio,renovadas,MASCULINO,21134
2016,Junio,renovadas,FEMENINO,7965
2016,Julio,nuevas,MASCULINO,3319
2016,Julio,nuevas,FEMENINO,1767
2016,Julio,renovadas,MASCULINO,21310
2016,Julio,renovadas,FEMENINO,8367
2016,Agosto,nuevas,MASCULINO,3411
2016,Agosto,nuevas,FEMENINO,1843
2016,Agosto,renovadas,MASCULINO,22119
2016,Agosto,renovadas,FEMENINO,8610
2016,Septiembre,nuevas,MASCULINO,3315
2016,Septiembre,nuevas,FEMENINO,1674
2016,Septiembre,renovadas,MASCULINO,23021
2016,Septiembre,renovadas,FEMENINO,9065
2016,Octubre,nuevas,MASCULINO,2995
2016,Octubre,nuevas,FEMENINO,1515
2016,Octubre,renovadas,MASCULINO,21626
2016,Octubre,renovadas,FEMENINO,8243
2016,Noviembre,nuevas,MASCULINO,3270
2016,Noviembre,nuevas,FEMENINO,1484
2016,Noviembre,renovadas,MASCULINO,23504
2016,Noviembre,renovadas,FEMENINO,9474
2016,Diciembre,nuevas,MASCULINO,2932
2016,Diciembre,nuevas,FEMENINO,1551
2016,Diciembre,renovadas,MASCULINO,22447
2016,Diciembre,renovadas,FEMENINO,9311
2017,Enero,nuevas,MASCULINO,2638
2017,Enero,nuevas,FEMENINO,1357
2017,Enero,renovadas,MASCULINO,22453
2017,Enero,renovadas,FEMENINO,9195
2017,Febrero,nuevas,MASCULINO,1994
2017,Febrero,nuevas,FEMENINO,1124
2017,Febrero,renovadas,MASCULINO,16885
2017,Febrero,renovadas,FEMENINO,7201
2017,Marzo,nuevas,MASCULINO,1673
2017,Marzo,nuevas,FEMENINO,1030
2017,Marzo,renovadas,MASCULINO,18461
2017,Marzo,renovadas,FEMENINO,8266
2017,Abril,nuevas,MASCULINO,2007
2017,Abril,nuevas,FEMENINO,1316
2017,Abril,renovadas,MASCULINO,19812
2017,Abril,renovadas,FEMENINO,7644
2017,Mayo,nuevas,MASCULINO,2303
2017,Mayo,nuevas,FEMENINO,1504
2017,Mayo,renovadas,MASCULINO,22236
2017,Mayo,renovadas,FEMENINO,9061
2017,Junio,nuevas,MASCULINO,2249
2017,Junio,nuevas,FEMENINO,1374
2017,Junio,renovadas,MASCULINO,22270
2017,Junio,renovadas,FEMENINO,8887
2017,Julio,nuevas,MASCULINO,2202
2017,Julio,nuevas,FEMENINO,1418
2017,Julio,renovadas,MASCULINO,22588
2017,Julio,renovadas,FEMENINO,9158
2017,Agosto,nuevas,MASCULINO,2623
2017,Agosto,nuevas,FEMENINO,1509
2017,Agosto,renovadas,MASCULINO,24416
2017,Agosto,renovadas,FEMENINO,9827
2017,Septiembre,nuevas,MASCULINO,2689
2017,Septiembre,nuevas,FEMENINO,1492
2017,Septiembre,renovadas,MASCULINO,23353
2017,Septiembre,renovadas,FEMENINO,9492
